name,id,GM,x,y,z,vx,vy,vz
Sun,10,0.295912208285591100E-03,0.004306786483674715,0.001837535134108785,-6.089583868599627e-05,-1.819961544921342e-06,5.304893809120167e-06,1.938237686924352e-08
Mercury,199,0.491248045036476000E-10,0.2608031036290285,0.1941548012009124,-0.007920680050178147,-0.02240357151534085,0.02373852851400617,0.003995763813333178
Venus,299,0.724345233264412000E-09,-0.03163833272887579,-0.7240794841588817,-0.007846758267002717,0.02006306534672056,-0.001072254244657087,-0.001173273323954599
Earth,399,0.888769244512563400E-09,-0.1762267229040138,0.9684335265498731,3.860769680717466e-06,-0.01719568902488065,-0.003210508485900838,2.480944449126105e-07
Moon,301,0.109318945074237400E-10,-0.1787960981527179,0.9679289211958966,-0.000100778811079838,-0.01704844265352481,-0.003765966714598013,-4.396576331390077e-05
Mars,499,0.954954869555077000E-10,1.330411585966007,0.4980293609694482,-0.0223529272952337,-0.004366714270603195,0.0143061322209902,0.0004070441686830017
Jupiter,599,0.282534584083387000E-06,-5.006895142311221,-2.138375001047115,0.1210075675379885,0.002875828217850848,-0.006589043275627507,-3.732762958497579e-05
Saturn,699,0.845970607324503000E-07,7.242418408520271,5.690983176953221,-0.3873316179327782,-0.003748446018618532,0.004375007876010112,7.246809953213954e-05
Uranus,799,0.129202482578296000E-07,-18.20862604496443,-1.932694891138334,0.2291418327688023,0.0003858506265054555,-0.004094769175075032,-2.0359868048643e-05
Neptune,899,0.152435734788511000E-07,-15.55788654385216,-26.00847573815253,0.893962458830729,0.002674515405738786,-0.001593012414617136,-2.861141150447117e-05
Pluto,999,0.217844105197418000E-11,-30.41812591647754,2.124458945607829,8.570729686704894,0.0003651488253370403,-0.003322913885520158,0.0002547141809385972
