name, GM
Sun, 0.295912208285591100E-03
Mercury, 0.491248045036476000E-10
Venus, 0.724345233264412000E-09
Earth, 0.888769244512563400E-09
Moon, 0.109318945074237400E-10
Mars, 0.954954869555077000E-10
Jupiter, 0.282534584083387000E-06
Saturn, 0.845970607324503000E-07
Uranus, 0.129202482578296000E-07
Neptune, 0.152435734788511000E-07
Pluto, 0.217844105197418000E-11

# https://naif.jpl.nasa.gov/pub/naif/generic_kernels/spk/planets/de430_and_de431.pdf au^3/day^2
